Label,Description,Component Type,Codelist
Citizenship,Country for which a migrant is a passport holder,Dimension,http://gss-data.org.uk/def/concept-scheme/citizenship
Migration,Direction of migration,Dimension,http://gss-data.org.uk/def/concept-scheme/migration-directions
CI,95% confidence interval,Attribute,
Reason for migration,Reason for migration,Dimension,http://gss-data.org.uk/def/concept-scheme/reasons-for-migration
Occupation,Occupations,Dimension,http://gss-data.org.uk/def/concept-scheme/occupations
Country of residence,Country of last or next residence,Dimension,http://gss-data.org.uk/def/concept-scheme/country-of-residence
Revision,Indicator for whether the original value has been revised and the cause of revision,Dimension,http://gss-data.org.uk/def/concept-scheme/revisions
Area of Destination or Origin,Area of destination or origin of migration,Dimension,
Migration Type,Type of migration,Dimension,http://gss-data.org.uk/def/concept-scheme/migration-types
Population Change Component,Components of population change,Dimension,http://gss-data.org.uk/def/concept-scheme/population-change-component
Applicant type,Type of entry clearance visa applicant,Dimension,http://gss-data.org.uk/def/concept-scheme/applicant-types
Application category,Category of entry clearance visa application,Dimension,http://gss-data.org.uk/def/concept-scheme/application-categories
Application type,Type of entry clearance visa application,Dimension,http://gss-data.org.uk/def/concept-scheme/application-types
Country of nationality,Country of nationality of entry clearance visa applicant,Dimension,http://gss-data.org.uk/def/concept-scheme/nationality
Resolution,Resolution of entry clearance visa application,Dimension,http://gss-data.org.uk/def/concept-scheme/application-resolutions
